0.75	1.875	0.49384
0.875	1.875	0.381482
1	1.875	0.263153
1.125	1.875	0.140701
1.25	1.875	0.0160389
1.375	1.875	-0.108887
1.5	1.875	-0.232126
1.625	1.875	-0.351755
1.75	1.875	-0.465905
1.875	1.875	-0.572794
2	1.875	-0.670755
2.125	1.875	-0.758257
2.25	1.875	-0.833936
2.375	1.875	-0.896609
2.5	1.875	-0.945298
2.625	1.875	-0.979243
2.75	1.875	-0.997916
2.875	1.875	-1.00102
3	1.875	-0.988517
3.125	1.875	-0.960593
3.25	1.875	-0.917687
3.375	1.875	-0.860468
3.5	1.875	-0.78983
3.625	1.875	-0.706875
3.75	1.875	-0.612899
3.875	1.875	-0.509368
4	1.875	-0.397899
4.125	1.875	-0.280231
4.25	1.875	-0.158203
4.375	1.875	-0.0337177
4.5	1.875	0.0912794
4.625	1.875	0.214837
4.75	1.875	0.335026
4.875	1.875	0.449968
5	1.875	0.557868
0	2	0.909297
0.125	2	0.850363
0.25	2	0.778126
0.375	2	0.693718
0.5	2	0.598458
0.625	2	0.493835
0.75	2	0.381485
0.875	2	0.263163
1	2	0.140716
1.125	2	0.0160584
1.25	2	-0.108865
1.375	2	-0.232102
1.5	2	-0.35173
1.625	2	-0.46588
1.75	2	-0.572771
1.875	2	-0.670734
2	2	-0.758239
2.125	2	-0.833921
2.25	2	-0.896598
2.375	2	-0.945292
2.5	2	-0.979243
2.625	2	-0.99792
2.75	2	-1.00103
2.875	2	-0.988532
3	2	-0.960613
3.125	2	-0.917712
3.25	2	-0.860498
3.375	2	-0.789864
3.5	2	-0.706913
3.625	2	-0.612941
3.75	2	-0.509412
3.875	2	-0.397946
4	2	-0.28028
4.125	2	-0.158252
4.25	2	-0.0337684
4.375	2	0.0912282
4.5	2	0.214785
4.625	2	0.334974
4.75	2	0.449916
4.875	2	0.557815
5	2	0.656987
0	2.125	0.85032
0.125	2.125	0.778095
0.25	2.125	0.693697
0.375	2.125	0.598447
0.5	2.125	0.493833
0.625	2.125	0.381491
0.75	2.125	0.263175
0.875	2.125	0.140735
1	2.125	0.0160816
1.125	2.125	-0.108838
1.25	2.125	-0.232073
1.375	2.125	-0.351699
1.5	2.125	-0.465849
1.625	2.125	-0.57274
1.75	2.125	-0.670704
1.875	2.125	-0.758211
2	2.125	-0.833896
2.125	2.125	-0.896577
2.25	2.125	-0.945275
2.375	2.125	-0.97923
2.5	2.125	-0.997913
2.625	2.125	-1.00103
2.75	2.125	-0.988535
2.875	2.125	-0.960622
3	2.125	-0.917725
3.125	2.125	-0.860516
3.25	2.125	-0.789887
3.375	2.125	-0.70694
3.5	2.125	-0.612971
3.625	2.125	-0.509446
3.75	2.125	-0.397981
3.875	2.125	-0.280317
4	2.125	-0.158291
4.125	2.125	-0.033807
4.25	2.125	0.0911899
4.375	2.125	0.214748
4.5	2.125	0.334938
4.625	2.125	0.449882
4.75	2.125	0.557784
4.875	2.125	0.656958
5	2.125	0.745853
0	2.25	0.778073
0.125	2.25	0.693684
0.25	2.25	0.598442
0.375	2.25	0.493837
0.5	2.25	0.381502
0.625	2.25	0.263193
0.75	2.25	0.140758
0.875	2.25	0.0161098
1	2.25	-0.108806
1.125	2.25	-0.232037
1.25	2.25	-0.351661
1.375	2.25	-0.46581
1.5	2.25	-0.572701
1.625	2.25	-0.670666
1.75	2.25	-0.758175
1.875	2.25	-0.833862
2	2.25	-0.896546
2.125	2.25	-0.945247
2.25	2.25	-0.979207
2.375	2.25	-0.997894
2.5	2.25	-1.00102
2.625	2.25	-0.988527
2.75	2.25	-0.960618
2.875	2.25	-0.917727
3	2.25	-0.860523
3.125	2.25	-0.789899
3.25	2.25	-0.706956
3.375	2.25	-0.612991
3.5	2.25	-0.509469
3.625	2.25	-0.398007
3.75	2.25	-0.280345
3.875	2.25	-0.158319
4	2.25	-0.0338358
4.125	2.25	0.0911619
4.25	2.25	0.214722
4.375	2.25	0.334914
4.5	2.25	0.449861
4.625	2.25	0.557768
4.75	2.25	0.656947
4.875	2.25	0.745848
5	2.25	0.823081
0	2.375	0.693685
0.125	2.375	0.598449
0.25	2.375	0.493849
0.375	2.375	0.381521
0.5	2.375	0.263217
0.625	2.375	0.140788
0.75	2.375	0.0161444
0.875	2.375	-0.108767
1	2.375	-0.231995
1.125	2.375	-0.351617
1.25	2.375	-0.465763
1.375	2.375	-0.572654
1.5	2.375	-0.670618
1.625	2.375	-0.758128
1.75	2.375	-0.833817
1.875	2.375	-0.896503
2	2.375	-0.945208
2.125	2.375	-0.979172
2.25	2.375	-0.997863
2.375	2.375	-1.00099
2.5	2.375	-0.988506
2.625	2.375	-0.960603
2.75	2.375	-0.917717
2.875	2.375	-0.860519
3	2.375	-0.789899
3.125	2.375	-0.706962
3.25	2.375	-0.613001
3.375	2.375	-0.509483
3.5	2.375	-0.398024
3.625	2.375	-0.280364
3.75	2.375	-0.15834
3.875	2.375	-0.0338568
4	2.375	0.0911416
4.125	2.375	0.214703
4.25	2.375	0.334899
4.375	2.375	0.44985
4.5	2.375	0.557762
4.625	2.375	0.656948
4.75	2.375	0.745857
4.875	2.375	0.823099
5	2.375	0.887465
0	2.5	0.598472
0.125	2.5	0.493876
0.25	2.5	0.381551
0.375	2.5	0.263252
0.5	2.5	0.140827
0.625	2.5	0.0161872
0.75	2.5	-0.10872
0.875	2.5	-0.231945
1	2.5	-0.351564
1.125	2.5	-0.465708
1.25	2.5	-0.572597
1.375	2.5	-0.670562
1.5	2.5	-0.758072
1.625	2.5	-0.833762
1.75	2.5	-0.89645
1.875	2.5	-0.945158
2	2.5	-0.979125
2.125	2.5	-0.99782
2.25	2.5	-1.00095
2.375	2.5	-0.988473
2.5	2.5	-0.960575
2.625	2.5	-0.917695
2.75	2.5	-0.860502
2.875	2.5	-0.789889
3	2.5	-0.706957
3.125	2.5	-0.613001
3.25	2.5	-0.509487
3.375	2.5	-0.398032
3.5	2.5	-0.280375
3.625	2.5	-0.158353
3.75	2.5	-0.0338712
3.875	2.5	0.0911273
4	2.5	0.21469
4.125	2.5	0.334889
4.25	2.5	0.449844
4.375	2.5	0.557762
4.5	2.5	0.656955
4.625	2.5	0.745874
4.75	2.5	0.823126
4.875	2.5	0.887505
5	2.5	0.938
0	2.625	0.49392
0.125	2.625	0.381596
0.25	2.625	0.263299
0.375	2.625	0.140877
0.5	2.625	0.0162402
0.625	2.625	-0.108664
0.75	2.625	-0.231886
0.875	2.625	-0.351502
1	2.625	-0.465644
1.125	2.625	-0.572531
1.25	2.625	-0.670495
1.375	2.625	-0.758004
1.5	2.625	-0.833695
1.625	2.625	-0.896385
1.75	2.625	-0.945095
1.875	2.625	-0.979065
2	2.625	-0.997764
2.125	2.625	-1.0009
2.25	2.625	-0.988426
2.375	2.625	-0.960534
2.5	2.625	-0.91766
